SPP1	1.30e-06
COL1A1	6.64e-09
SPINK1	5.34e-04
TOP2A	5.84e-09
SPP1	3.34e-05
MMP12	1.79e-07
TUBB3	5.22e-09
	1.49e-06
UBE2C	2.42e-07
CRABP2	2.36e-07
MDK	1.08e-10
HMGB3	6.70e-07
PCP4	1.26e-05
CDCA7	7.36e-11
SULF1	1.85e-08
COL1A2	3.42e-06
PROM2	2.87e-08
MMP7	1.78e-04
CDC20	1.78e-08
MMP11	1.98e-08
OCIAD2	1.89e-12
GPT2	3.17e-08
PAFAH1B3	8.99e-13
THBS2	1.94e-07
ADAMDEC1	3.99e-06
CXCL13	9.13e-07
NME1	3.93e-12
CD24	1.26e-08
TIMP1	1.58e-08
C15orf48	6.70e-05
GCNT3	3.26e-05
SLC2A1	2.01e-07
FAM83A	3.16e-06
FGL1	6.68e-03
PITX1	3.18e-05
CCNB2	9.99e-08
GOLM1	3.04e-14
PSAT1	7.01e-09
MMP9	3.48e-05
MELK	1.93e-07
IGFBP3	1.06e-07
EEF1A2	7.63e-04
FHL2	2.39e-07
SBK1	1.05e-07
COL5A2	2.22e-06
HIST1H2BD	5.27e-09
RGS17	1.85e-08
KIAA0101	4.90e-08
TNFRSF21	2.19e-09
ASPM	1.33e-08
CDH3	7.84e-07
CD19	2.87e-05
CDCA5	1.01e-07
FHL2	4.04e-07
CTHRC1	5.08e-09
	5.43e-04
CFB	4.31e-05
CD79A	1.10e-03
IGFBP3	1.37e-07
DNAJC12	3.30e-04
S100P	2.38e-02
UBD	4.59e-05
TUBB2B	7.00e-03
MARCKSL1	5.21e-11
THY1	1.65e-05
SPDEF	1.51e-06
NUSAP1	7.69e-07
GJB2	2.07e-06
LCN2	9.31e-03
CCL19	5.82e-05
SERPINE2	5.42e-05
CDC45	1.88e-07
OCIAD2	3.57e-11
ITPKA	2.10e-04
COMP	7.14e-05
CLDN10	9.42e-04
LAD1	4.22e-06
PTTG1	1.42e-06
C1orf106	3.63e-09
UBE2T	8.03e-09
COL11A1	7.51e-05
	2.82e-07
HES6	2.38e-04
SCG5	6.32e-06
COL10A1	2.79e-07
DNAJC12	3.01e-04
PPP1R14B	2.24e-11
KRT80	4.68e-05
HMGA1	1.15e-05
PAICS	1.27e-08
HIST1H2BD	1.82e-07
AURKA	5.37e-06
PODXL2	3.82e-07
FKBP11	3.08e-06
HS6ST2	2.10e-06
GMDS	9.23e-08
FBXO32	9.53e-07
MIF	7.79e-13
KRT8	3.59e-05
MZB1	8.57e-03
CELSR3	1.14e-06
CLDN3	6.69e-06
VPREB3	1.16e-04
GYG2	1.74e-08
CENPF	3.88e-06
TK1	1.26e-07
PRC1	1.51e-05
FCRLA	1.63e-04
RPP40	2.70e-09
AURKA	6.47e-06
CEMIP	4.54e-04
FDCSP	1.25e-04
	3.78e-07
SLC35F2	2.79e-09
ERO1A	1.03e-07
LTB	6.19e-05
PAICS	4.33e-08
SIX4	5.66e-06
SHMT2	2.97e-08
KDELR3	5.36e-08
LRRC26	3.80e-04
FCGBP	1.31e-02
TYMS	1.06e-05
AGR2	9.20e-05
IDH2	4.68e-09
MCM4	4.41e-07
FOXA1	1.99e-03
FUT2	4.98e-06
CXCL9	2.18e-02
ANKRD22	6.99e-06
SERINC2	1.94e-07
PRDX4	4.92e-09
NPM3	1.72e-10
ENC1	1.53e-07
XPR1	3.51e-07
CST1	4.76e-04
GFPT1	8.73e-11
TXNDC17	2.67e-08
ALG1L	2.94e-06
TIMELESS	2.21e-06
PLAU	7.83e-04
KRT15	1.12e-03
LGSN	3.92e-04
JSRP1	1.97e-04
HIST2H2AA3	1.31e-05
CLIC6	1.51e-02
PLOD2	1.99e-04
KIF20A	3.89e-06
AK4	2.28e-05
BOP1	2.82e-07
	3.18e-05
SSR4	9.95e-08
ARHGEF19	2.81e-06
CD79B	8.01e-04
AURKB	6.69e-07
	8.68e-05
	7.25e-04
UQCC2	1.47e-08
GAPDH	2.00e-08
GGCT	1.32e-08
CEP55	5.04e-07
COL5A1	2.30e-04
RHPN2	1.36e-03
STAT1	1.33e-04
GALE	4.47e-08
ALDH18A1	1.45e-12
SOX4	2.91e-08
SMPDL3B	9.11e-10
E2F2	8.16e-06
KDELR2	2.36e-08
MXRA5	1.30e-04
PGM2L1	1.57e-11
SEMA4B	2.48e-05
KNTC1	2.73e-08
STX1A	9.21e-08
BCAS4	2.09e-08
SRPK1	2.78e-10
TMED3	1.86e-09
PIM2	6.36e-04
KRT19	2.41e-04
NQO1	1.16e-02
MB	1.48e-04
CEACAM5	4.35e-03
HTR3A	5.35e-05
SLC22A18AS	2.58e-04
LAMP5	1.31e-05
MANF	2.35e-09
MESP1	2.58e-06
C1QTNF6	8.00e-07
VSTM2L	2.53e-03
SDF2L1	1.86e-08
CDK1	5.11e-05
TESC	5.97e-02
GAPDH	3.65e-08
NCAPG	3.32e-06
MAGED1	3.41e-09
KDELR3	9.42e-05
PARP1	9.09e-12
STIL	3.10e-07
	2.01e-03
ATIC	8.82e-10
GPX2	7.47e-02
C19orf48	2.27e-07
FEN1	1.29e-06
BIRC5	4.97e-06
CAPN12	6.85e-04
ATP2A2	5.48e-06
PFKP	2.19e-04
RPL39L	8.42e-05
MRPS12	7.95e-08
NET1	7.78e-07
SLC2A5	8.39e-06
MX2	4.30e-05
CCNE1	4.39e-04
CLDN2	9.43e-03
CCNF	1.25e-07
SLC7A5	6.89e-03
CA9	8.41e-04
FAM136A	1.86e-10
ZDHHC9	7.79e-04
CABYR	5.66e-06
TTYH3	1.16e-08
TYMSOS	7.18e-04
PLPP2	1.41e-10
CENPM	1.29e-07
CNOT11	1.14e-09
LAGE3	7.88e-09
KLK12	1.31e-01
DLGAP5	2.16e-05
ENO3	1.14e-03
HMBS	2.59e-07
DTX2	8.59e-07
	7.41e-06
NME4	2.88e-05
RPL34	8.30e-07
PDIA4	1.63e-10
F12	2.61e-05
MUC16	1.64e-02
BOLA2	1.94e-06
TTK	1.67e-05
WDR66	5.38e-03
SRPRB	1.55e-08
MTFP1	6.16e-08
ALDH3B2	1.39e-04
RAD51AP1	4.08e-06
SLC52A2	5.25e-05
E2F3	7.79e-08
FLAD1	4.72e-08
TRIP13	4.51e-04
PDIA6	3.56e-06
NFE2L3	3.12e-05
TRIM2	1.44e-03
SYT7	1.84e-04
SNRNP25	4.54e-08
MCM4	1.17e-06
IGF2BP3	2.72e-03
C11orf80	9.09e-12
MAGED1	1.73e-08
AKR7A3	4.84e-04
EIF2AK1	2.63e-07
OIP5	1.27e-04
TFAP2A	5.26e-05
MCM7	1.93e-06
TCN1	2.52e-02
C17orf53	1.92e-07
AHCY	3.88e-06
SLC25A39	2.21e-09
CCDC167	7.20e-07
P3H4	7.40e-10
ST14	7.92e-07
CYP24A1	6.00e-04
KIF2C	3.77e-05
TMEM132A	1.75e-06
BAIAP2L1	8.52e-05
ZNF239	1.26e-08
SLC39A11	5.51e-10
POSTN	1.04e-04
DDIT4L	3.42e-04
ARHGAP39	6.40e-04
F2RL1	9.13e-04
SMUG1	5.65e-10
C20orf24	1.63e-05
CKAP2L	4.59e-06
PTTG3P	1.62e-05
SAPCD2	9.47e-06
PNMA3	2.63e-04
CDCA8	2.13e-06
DKC1	2.65e-08
MUC20	6.14e-04
ANLN	5.28e-05
SPINT2	1.05e-04
	2.75e-09
HIST2H2AC	2.31e-05
ERBB2	1.16e-03
HOOK1	8.78e-06
MUC21	2.57e-02
XKRX	4.00e-04
ENO1	4.36e-06
BCAS4	2.73e-07
NAXE	9.21e-08
BUB1	1.43e-05
WDR86	1.56e-03
TFF1	7.81e-02
CCT3	2.57e-08
PTGES	1.43e-04
RMI2	1.11e-06
TFF3	2.27e-01
MCM2	3.97e-05
STK39	9.11e-07
CDH1	1.26e-03
ALPK2	5.15e-05
POC1A	1.82e-06
MRGBP	3.86e-06
	8.00e-04
SMPDL3B	2.80e-04
CBX2	6.35e-04
CCNA2	7.80e-06
IRAK1	5.56e-07
KRT17	7.94e-02
LTB	2.86e-04
PLEK2	1.76e-07
HMMR	4.92e-07
TMEM106C	1.61e-05
FAP	5.35e-04
GSDMB	5.03e-05
SRPX2	6.84e-04
STEAP3	1.98e-04
NEK2	1.02e-04
PAQR4	3.21e-04
KAT2A	5.88e-07
H1F0	1.40e-03
PLK4	7.00e-06
MCM6	3.42e-05
RCC2	5.58e-06
MCM10	1.24e-05
TPX2	4.82e-05
	4.14e-06
DBNDD1	9.99e-06
ECE2	1.65e-06
CRELD2	2.56e-09
BZW2	9.88e-07
DDR1	2.54e-04
CNFN	3.33e-06
FUT3	4.75e-06
PUS1	5.96e-06
DUSP23	3.12e-06
CCNO	6.03e-03
POLQ	1.62e-05
	9.67e-07
CKS1B	1.81e-04
KIF11	2.45e-06
RFC4	4.05e-06
MUC13	2.39e-02
C20orf24	1.05e-04
MAPK13	2.29e-04
CCDC34	1.16e-04
CYP2J2	8.99e-04
MSMB	3.48e-01
REEP6	1.06e-05
BASP1	8.24e-03
MRPS17	2.15e-05
GART	1.30e-10
CR2	2.11e-03
CDKN3	4.61e-05
LAPTM4B	7.07e-03
PKM	6.45e-04
SPC24	8.19e-07
ASCL2	1.40e-03
HABP2	9.12e-03
BOLA2	6.63e-06
	1.51e-04
PAEP	5.66e-02
VARS	1.84e-05
COL6A3	5.58e-03
BPHL	7.49e-07
	3.56e-06
SLC25A10	6.30e-06
ORC5	4.34e-10
COL9A2	1.34e-03
MTHFD2	1.92e-04
VMP1	4.81e-06
CHTF18	3.41e-06
MTA3	9.21e-08
FAM83A	5.45e-04
SLC35A2	9.66e-06
HMMR	4.06e-07
EPRS	1.08e-10
NUDT1	4.75e-06
C1orf112	3.82e-07
GMPPA	1.38e-07
TLCD1	3.13e-05
TMEM62	2.64e-04
EXO1	1.72e-05
QPRT	6.68e-03
MUC4	1.93e-02
MFSD3	1.15e-04
TMEM79	1.73e-05
PDE9A	4.51e-04
HJURP	7.61e-05
CXCL14	1.36e-03
ADAM8	4.09e-04
DBN1	4.69e-06
METTL7B	1.19e-04
CILP	5.11e-04
ABCA4	2.87e-03
CDK12	4.03e-03
CXCR5	6.21e-04
HIST1H4C	2.70e-02
HYOU1	1.07e-04
	6.82e-03
GEMIN6	7.70e-06
FOXM1	2.10e-04
ETV4	5.90e-05
C15orf48	3.41e-03
TROAP	2.75e-05
	2.38e-04
PLOD1	6.67e-06
RUNX1	2.74e-04
CAMK1G	5.16e-03
MRPS12	7.71e-06
LSM2	9.22e-08
XPO5	3.51e-08
CACNB3	4.23e-04
EZH2	2.59e-06
	4.57e-07
KIF1A	1.68e-02
RAB25	5.31e-04
OPLAH	2.41e-04
TMCO1	1.17e-10
CENPN	2.32e-04
DCLK1	1.94e-04
RASL11B	3.71e-04
STAT1	4.64e-03
ERBB3	2.78e-03
HSPD1	6.38e-06
POLR2H	6.15e-08
PUS7	5.88e-07
DLL3	7.36e-03
NME1	5.97e-08
CLCN7	9.06e-04
TFAP2C	3.96e-04
	4.64e-03
CSTF3	4.27e-05
CDK4	4.27e-07
KCNK12	5.13e-06
STK36	6.10e-04
CPSF3	1.62e-11
ZNF593	3.82e-05
SAR1B	7.19e-08
DDIT4	2.63e-02
CHMP4B	1.08e-07
EIF6	1.65e-09
CERCAM	9.63e-07
ASNS	2.24e-04
RPL5	3.09e-06
POU2AF1	8.92e-04
SLC16A9	2.60e-02
TMEM156	2.86e-04
DEPTOR	1.47e-06
EIF3B	2.90e-05
ZSCAN16	6.88e-08
SEL1L3	4.33e-06
C10orf35	6.81e-06
KIAA1324	8.79e-02
MRPS33	6.84e-07
BPIFA1	2.60e-01
GPI	1.46e-04
SFRP2	1.42e-01
SLC5A6	5.61e-07
APOE	7.63e-02
C1orf53	1.46e-04
RPP21	5.86e-06
TNFRSF17	2.10e-03
TMED10P1	4.24e-05
NEK6	5.94e-06
RAB3IP	2.21e-05
NARF	3.42e-07
CXXC5	4.19e-05
CYP27B1	1.91e-08
SKP2	4.47e-04
DNAJC10	2.70e-06
CEACAM1	1.24e-02
DNAH2	3.82e-02
METTL1	1.04e-05
GAGE4	2.64e-01
GAGE12I	3.15e-01
PCDH7	1.67e-04
RPN2	9.89e-07
DNAJC12	9.47e-03
IDH1	1.35e-04
TUBG1	5.70e-05
PRSS3	4.04e-02
SLC22A18	2.88e-03
TRAF5	2.01e-05
CCR7	3.97e-03
SFXN4	4.08e-07
CHEK1	1.49e-05
HAMP	8.39e-03
MED20	3.60e-07
SLC27A2	1.84e-03
OXLD1	4.70e-06
MRPL12	1.26e-07
FCMR	8.42e-03
GPX8	1.06e-04
SLC29A2	5.28e-04
FAM83H	5.08e-04
RPS6KB2	1.13e-07
	8.32e-08
CSTF2	3.35e-09
PCCB	6.16e-06
ERGIC3	3.10e-07
CCDC24	2.21e-04
SLC9A3R1	2.15e-05
SRD5A1	6.64e-05
KRTCAP2	4.98e-06
TIA1	2.05e-07
SERPINH1	9.27e-04
TFB2M	1.51e-06
	6.29e-05
GINS2	2.49e-04
HKDC1	7.57e-03
HS3ST1	2.00e-03
ROMO1	6.53e-07
ZSCAN2	1.81e-08
CRACR2B	6.80e-04
PROM1	3.79e-01
METTL13	5.11e-08
ITGB4	5.47e-04
HIST1H1C	4.24e-03
LRRC20	3.25e-04
MSMB	2.96e-01
REPIN1	1.85e-05
HS6ST2	7.29e-06
BCL11A	3.13e-05
ALG8	7.04e-07
DNPH1	9.97e-09
GOLGA7B	1.08e-03
RHOD	1.12e-05
CALCA	3.18e-01
	9.99e-06
PPIL1	1.03e-06
ACOT11	3.99e-05
CLDN10	4.20e-03
KDM5B	2.11e-05
STRA13	7.95e-05
HOXB7	1.12e-02
HOXC6	4.86e-02
FNDC1	1.69e-02
LDHA	5.37e-05
ST6GALNAC1	4.02e-04
TPI1	4.61e-06
CNPY2	3.74e-06
CALU	8.33e-06
MTFR1	3.52e-05
DECR2	1.82e-05
STRBP	7.45e-07
IGSF9	7.88e-05
COL6A3	4.59e-02
TSKU	1.78e-03
NREP	2.12e-02
POLR1C	3.35e-04
SMYD3	1.37e-06
DAP3	2.50e-10
MRPL37	1.32e-08
DPAGT1	1.76e-07
KIFC1	1.07e-03
STAT1	2.64e-03
FERMT1	1.22e-05
ATP6V0A4	1.04e-02
TM4SF4	1.65e-01
	5.05e-04
LIME1	1.72e-03
HSP90B1	6.81e-06
ETV4	7.40e-05
CD79B	1.85e-03
FOXA3	1.71e-04
MRPL15	1.29e-04
MCM3	3.16e-04
	8.04e-09
DBNDD1	1.62e-05
PLPP2	2.39e-07
VPS37D	1.66e-06
AKR1A1	5.11e-08
RAMP1	2.52e-04
AK2	9.23e-08
MRPL24	1.66e-06
LMNB2	8.12e-04
DPH2	5.13e-06
CAPN5	3.72e-03
PC	1.73e-04
AKR1B10	3.51e-01
TRPT1	4.79e-08
PARPBP	4.00e-05
C16orf59	3.92e-06
FAM64A	9.68e-05
MFAP2	3.09e-05
SLC35B2	2.57e-06
NOX4	1.03e-04
CENPA	6.33e-05
ASCL1	2.01e-01
BCL9	5.23e-07
IGFBP2	7.35e-02
DHRS11	4.33e-05
UBQLN4	1.65e-04
TMEM59L	1.16e-02
DCTPP1	1.10e-05
HLA-DOB	3.32e-04
RNFT2	4.01e-04
WDR72	6.77e-02
ZNF260	2.89e-05
